field;option_set;is_global;value;label
cr56f_2bunionettelf;cr56f_wpp_46810;true;979580000;4
cr56f_2bunionettelf;cr56f_wpp_46810;true;979580001;6
cr56f_2bunionettelf;cr56f_wpp_46810;true;979580002;8
cr56f_2bunionettelf;cr56f_wpp_46810;true;979580003;10
cr56f_2bunionetterf;cr56f_wpp_46810;true;979580000;4
cr56f_2bunionetterf;cr56f_wpp_46810;true;979580001;6
cr56f_2bunionetterf;cr56f_wpp_46810;true;979580002;8
cr56f_2bunionetterf;cr56f_wpp_46810;true;979580003;10
cr56f_2depthtoforepartlf;cr56f_wpp_2468;true;979580000;2
cr56f_2depthtoforepartlf;cr56f_wpp_2468;true;979580001;4
cr56f_2depthtoforepartlf;cr56f_wpp_2468;true;979580002;6
cr56f_2depthtoforepartlf;cr56f_wpp_2468;true;979580003;8
cr56f_2depthtoforepartrf;cr56f_wpp_2468;true;979580000;2
cr56f_2depthtoforepartrf;cr56f_wpp_2468;true;979580001;4
cr56f_2depthtoforepartrf;cr56f_wpp_2468;true;979580002;6
cr56f_2depthtoforepartrf;cr56f_wpp_2468;true;979580003;8
cr56f_2depthtotoeheellf;cr56f_wpp_2468;true;979580000;2
cr56f_2depthtotoeheellf;cr56f_wpp_2468;true;979580001;4
cr56f_2depthtotoeheellf;cr56f_wpp_2468;true;979580002;6
cr56f_2depthtotoeheellf;cr56f_wpp_2468;true;979580003;8
cr56f_2depthtotoeheelrf;cr56f_wpp_2468;true;979580000;2
cr56f_2depthtotoeheelrf;cr56f_wpp_2468;true;979580001;4
cr56f_2depthtotoeheelrf;cr56f_wpp_2468;true;979580002;6
cr56f_2depthtotoeheelrf;cr56f_wpp_2468;true;979580003;8
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580099;--
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580000;1
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580001;2
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580002;3
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580003;4
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580004;5
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580005;6
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580006;7
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580007;8
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580008;9
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580009;10
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580010;11
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580011;12
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580012;13
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580013;14
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580014;15
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580015;16
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580016;17
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580017;18
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580018;19
cr56f_2extrawidthonconelf;cr56f_wpp_120;true;979580019;20
cr56f_2extrawidthonconerf;cr56f_wpp_120;true;979580099;--
cr56f_2extrawidthonconerf;cr56f_wpp_120;true;979580000;1
cr56f_2extrawidthonconerf;cr56f_wpp_120;true;979580001;2
cr56f_2extrawidthonconerf;cr56f_wpp_120;true;979580002;3
cr56f_2extrawidthonconerf;cr56f_wpp_120;true;979580003;4
cr56f_2extrawidthonconerf;cr56f_wpp_120;true;979580004;5
cr56f_2extrawidthonconerf;cr56f_wpp_120;true;979580005;6
cr56f_2extrawidthonconerf;cr56f_wpp_120;true;979580006;7
