colour_id	divergences
2034.0336	color_basic: XLS[Fuchsia, Multi colour] DB[Pink, Multi Colour]
2034K.0336	color_basic: XLS[Fuchsia, Multi colour] DB[Pink, Multi Colour]
2034.5736	color_basic: XLS[Blue, Multi colour] DB[Blue, Multi Colour]
2034K.5736	color_basic: XLS[Blue, Multi colour] DB[Blue, Multi Colour]
2034.9885	color_basic: XLS[Black, Multi colour] DB[Black]
2034K.9885	color_basic: XLS[Blue, Multi colour] DB[Black]
2038.0126	color_basic: XLS[Fuchsia, Multi colour] DB[Pink] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]]
2038K.0126	color_basic: XLS[Fuchsia, Multi colour] DB[Pink] | color_name: XLS[Fuchsia Combi] DB[Fuchsia Nubuck &  Paars Mesh Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]] DB[AFO:[S,M,L] Reverse Lasted:[4½,6½] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]]
2038.4526	color_basic: XLS[Purple, Multi colour] DB[Purple] | color_name: XLS[Purple Combi] DB[Paars Nubuck & Paars Mesh Combi] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]]
2038K.4526	color_basic: XLS[Purple, Multi colour] DB[Purple] | color_name: XLS[Purple Combi] DB[Paars Nubuck & Paars Mesh Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]] DB[AFO:[S,M,L] Reverse Lasted:[4½,6½] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]]
2038.5636	color_basic: XLS[Blue, Multi colour] DB[Blue] | color_name: XLS[Dark Blue Combi] DB[Blauw Nubuck &  Blauw Mesh Combi] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]]
2038K.5636	color_basic: XLS[Blue, Multi colour] DB[Blue] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]] DB[AFO:[S,M,L] Reverse Lasted:[4½,6½] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]]
2038.9836	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black Combi] DB[Zwart Leer & Zwart Mesh Combi] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]]
2038K.9836	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black Combi] DB[Zwart Leer & Zwart Mesh Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]] DB[AFO:[S,M,L] Reverse Lasted:[4½,6½] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]]
2038.9936	color_basic: XLS[White, Multi Colour] DB[White] | color_name: XLS[White Combi] DB[Wit Leer & Grijs Mesh] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]]
2038K.9936	color_basic: XLS[White, Multi Colour] DB[White] | color_name: XLS[White Combi] DB[Wit Leer & Grijs Mesh] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]] DB[AFO:[S,M,L] Reverse Lasted:[4½,6½] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]]
2060.4326	color_basic: XLS[Green, Multi colour] DB[Green] | color_name: XLS[Dark Green] DB[Kaki Nubuck Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]]
2060K.4326	color_basic: XLS[Green, Multi colour] DB[Green] | color_name: XLS[Dark Green] DB[Kaki Nubuck Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]] DB[AFO:[S,M,L] Reverse Lasted:[4½,6½] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]]
2060.5626	color_basic: XLS[Blue, Multi colour] DB[Blue] | color_name: XLS[Dark Blue] DB[Blauw Nubuck Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]]
2060K.5626	color_basic: XLS[Blue, Multi colour] DB[Blue] | color_name: XLS[Dark Blue] DB[Blauw Nubuck Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]] DB[AFO:[S,M,L] Reverse Lasted:[4½,6½] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]]
2060.9826	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black] DB[Zwart Nubuck Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]]
2060K.9826	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black] DB[Zwart Nubuck Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]] DB[AFO:[S,M,L] Reverse Lasted:[4½,6½] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]]
2060.9957	color_basic: XLS[White, Multi Colour] DB[White] | color_name: XLS[White] DB[Wit Leer Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]]
2060K.9957	color_basic: XLS[White, Multi Colour] DB[White] | color_name: XLS[White] DB[Wit Leer Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]] DB[AFO:[S,M,L] Reverse Lasted:[4½,6½] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]]
2089.4337	color_basic: XLS[Green] DB[Green, Multi Colour] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2089K.4337	color_basic: XLS[Green] DB[Green, Multi Colour] | color_name: XLS[Army Fantasy] DB[Army Su�de] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]] DB[AFO:[S,M,L] Reverse Lasted:[4½,6½] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]]
2089.5656	color_basic: XLS[Blue, Multi colour] DB[Blue, Multi Colour] | color_name: XLS[Dark Blue Combi] DB[Blauw Leer & Army Suède] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2089K.5656	color_basic: XLS[Blue, Multi colour] DB[Blue, Multi Colour] | color_name: XLS[Dark Blue Combi] DB[Blauw Leer & Army Suède] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]] DB[AFO:[S,M,L] Reverse Lasted:[4½,6½] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]]
2089.9880	color_basic: XLS[Black, Multi colour] DB[Black, Multi Colour] | color_name: XLS[Black Combi] DB[Zwart Leer & Army Suède] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2089K.9880	color_basic: XLS[Black, Multi colour] DB[Black, Multi Colour] | color_name: XLS[Black Combi] DB[Zwart Leer & Army Suède] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]] DB[AFO:[S,M,L] Reverse Lasted:[4½,6½] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]]
2089.9980	constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] Reverse Lasted:[4½,6½]] DB[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½] AFO:[S,M,L] Reverse Lasted:[4½,6½]]
2089K.9980	info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]] DB[AFO:[S,M,L] Reverse Lasted:[4½,6½] Rehabilitation:[1½,2½,3½,4½,5½,6½,7½,8½] Stability:[1½,2½,3½,4½,5½,6½,7½,8½]]
2105.0112	color_basic: XLS[Fuchsia] DB[Pink] | color_name: XLS[Fuchsia] DB[Fuchsia Leer & Beige Leer] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2105.1512	color_name: XLS[Dark Brown] DB[Donkerbruin Leer & Beige Leer] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2105.5612	color_name: XLS[Dark Blue] DB[Blauw Leer & Beige Leer] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2105.9800	color_name: XLS[Black] DB[Zwart Leer] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2115.0112	color_basic: XLS[Fuchsia] DB[Pink]
2115.1512	color_name: XLS[Dark Brown] DB[Donkerbruin Leer & Beige Leer]
2115.5612	color_name: XLS[Dark Blue] DB[Blauw Leer & Beige Leer]
2115.9800	color_name: XLS[Black] DB[Zwart Leer]
2118.0300	info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2118.4100	color_name: XLS[Lilac] DB[Lila Leer & Lila Fantasie Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2118K.4100	color_name: XLS[Lilac] DB[Lila Leer & Lila Fantasie Combi]
2118.4302	color_name: XLS[Green] DB[Kaki Nubuck] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2118K.4302	color_name: XLS[Green] DB[Groen Nubuck]
